autores,year,description,section,source
**Johnson,1958,"Chile es la excepción en América Latina por tener partidos políticos bien organizados y arraigados con ideologías claras de izquierda a derecha, contrastando con el caudillismo predominante en la región.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
**Blanksten,1960,"Los partidos 'Aprista' o 'revolucionarios nacionales' emergieron con liderazgo de clase media, base social multiclase e ideología reformista en la posguerra.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
**Martz,1964,"Los partidos 'Aprista' o 'revolucionarios nacionales' emergieron con liderazgo de clase media, base social multiclase e ideología reformista en la posguerra.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
**Ditella,1965,"Los partidos 'Aprista' o 'revolucionarios nacionales' emergieron con liderazgo de clase media, base social multiclase e ideología reformista en la posguerra.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
**Dix,1966,"Los partidos 'Aprista' o 'revolucionarios nacionales' emergieron con liderazgo de clase media, base social multiclase e ideología reformista en la posguerra.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
**Alexander,1964,"Se desarrollaron estudios de casos detallados sobre partidos como instituciones, enfocados en estructura organizacional, selección de candidatos y cohesión.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
**Martz,1966,"Se desarrollaron estudios de casos detallados sobre partidos como instituciones, enfocados en estructura organizacional, selección de candidatos y cohesión.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
**Williams,1967,"Se desarrollaron estudios de casos detallados sobre partidos como instituciones, enfocados en estructura organizacional, selección de candidatos y cohesión.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
**Payne,1968,"Se desarrollaron estudios de casos detallados sobre partidos como instituciones, enfocados en estructura organizacional, selección de candidatos y cohesión.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
**Hilliker,1971,"Se desarrollaron estudios de casos detallados sobre partidos como instituciones, enfocados en estructura organizacional, selección de candidatos y cohesión.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
**Gibson,1996,Realizó estudios de casos sobre partidos en Argentina durante la redemocratización.**,Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
**Keck,1986,Realizó estudios de casos sobre partidos en Brasil durante la redemocratización.**,Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
**Kinzo,1988,Realizó estudios de casos sobre partidos en Brasil durante la redemocratización.**,Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
**Mainwaring,1993,Realizó estudios de casos sobre partidos en Brasil durante la redemocratización.**,Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
**Scully,1992,Realizó estudios de casos sobre partidos en Chile durante la redemocratización.**,Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
**Hartlyn,1988,Realizó estudios de casos sobre partidos en Colombia durante la redemocratización.**,Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
**Conaghan,1988,Realizó estudios de casos sobre partidos en Ecuador durante la redemocratización.**,Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
**Graham,1992,Realizó estudios de casos sobre partidos en Perú durante la redemocratización.**,Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
**González,1991,Realizó estudios de casos sobre partidos en Uruguay durante la redemocratización.**,Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
**Coppedge,1994,Realizó estudios de casos sobre partidos en Venezuela durante la redemocratización.**,Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
**Taagera y Shugart,1989,"Integraron casos latinoamericanos en debates sobre presidencialismo, comportamiento legislativo y reforma electoral, recopilando datos comparables.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
**Remmer,1991,"Integraron casos latinoamericanos en debates sobre presidencialismo, comportamiento legislativo y reforma electoral, recopilando datos comparables.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
**Mainwaring,1993,"Integraron casos latinoamericanos en debates sobre presidencialismo, comportamiento legislativo y reforma electoral, recopilando datos comparables.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
**Jones,1994,"Integraron casos latinoamericanos en debates sobre presidencialismo, comportamiento legislativo y reforma electoral, recopilando datos comparables.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
**Mainwaring y Scully,1995a,"Integraron casos latinoamericanos en debates sobre presidencialismo, comportamiento legislativo y reforma electoral, recopilando datos comparables.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
**Coppedge,1997b,"Integraron casos latinoamericanos en debates sobre presidencialismo, comportamiento legislativo y reforma electoral, recopilando datos comparables.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
**narrador,1900,"El texto describe la evolución del estudio de los partidos políticos y sistemas de partidos en América Latina, dividida en cuatro etapas: (1) predominio del caudillismo (siglo XIX-1960), con Chile como excepción; (2) reconocimiento de nuevos partidos posguerra (1960-1967), como los 'Aprista' y estudios institucionales; (3) declive del interés por los partidos (finales 1960-1980) debido a gobiernos militares y radicalización; (4) resurgimiento con la redemocratización (mediados 1980), generando estudios comparativos y tipologías basadas en institucionalización y fragmentación. La nueva sabiduría convencional clasifica sistemas en institucionalizados (ej. Costa Rica, Uruguay pre-1971) vs. incipientes (ej. Ecuador, Bolivia), pero se critica por ignorar la sustancia política (ideología, polarización) y la alta volatilidad que dificulta generalizaciones. Se propone analizar elecciones individuales en lugar de promedios históricos para mayor precisión.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
