autores,year,description,section,source
¨Coppedge M.(1998),1900,"Los sistemas de partidos en América Latina son diversos y dinámicos, lo que dificulta su explicación mediante factores estándar como desarrollo económico, estructura de clase o leyes electorales, ya que estos cambian demasiado lento para capturar la variabilidad observada.",Coppedge M.(1998)_Conclusion remarks,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
¨Coppedge M.(1998),1900,"Las explicaciones más viables para los cambios en los sistemas de partidos latinoamericanos involucran factores manipulables por gobiernos y élites, como divisiones/fusiones partidistas, tácticas de campaña, cambios programáticos, desempeño económico a corto plazo y, en casos extremos, boicots o proscripciones.",Coppedge M.(1998)_Conclusion remarks,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
¨Coppedge M.(1998),1900,"La diversidad y dinamismo de estos sistemas plantean desafíos metodológicos severos, especialmente para establecer causalidad, debido a la dificultad de comparar escenarios contrafactuales en contextos de alta volatilidad.",Coppedge M.(1998)_Conclusion remarks,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
¨Coppedge M.(1998),1900,Las estrategias metodológicas viables son limitadas: estudios de caso intensivos (con riesgo de poca generalización) o comparaciones cuantitativas amplias (con riesgo de superficialidad).,Coppedge M.(1998)_Conclusion remarks,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
¨Coppedge M.(1998),1900,"La estrategia cuantitativa enfrenta dos obstáculos: la dificultad de aislar efectos causales de condiciones constantes dentro de cada país y la heterocedasticidad (variación desigual entre países), que exige estandarizar datos para comparaciones significativas.",Coppedge M.(1998)_Conclusion remarks,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
¨Coppedge M.(1998),1900,"A pesar de las dificultades, explicar los sistemas de partidos es crucial, ya que su naturaleza (fuerza, orientación ideológica, fragmentación) impacta la representación política, las decisiones económicas, la legitimidad gubernamental y la estabilidad democrática en la región.",Coppedge M.(1998)_Conclusion remarks,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
Johnson,1958,"Chile es la excepción en América Latina por tener partidos políticos bien organizados y arraigados con ideologías claras de izquierda a derecha, contrastando con el caudillismo predominante en la región.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
Blanksten,1960,"Los partidos 'Aprista' o 'revolucionarios nacionales' emergieron con liderazgo de clase media, base social multiclase e ideología reformista en la posguerra.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
Martz,1964,"Los partidos 'Aprista' o 'revolucionarios nacionales' emergieron con liderazgo de clase media, base social multiclase e ideología reformista en la posguerra.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
Ditella,1965,"Los partidos 'Aprista' o 'revolucionarios nacionales' emergieron con liderazgo de clase media, base social multiclase e ideología reformista en la posguerra.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
Dix,1966,"Los partidos 'Aprista' o 'revolucionarios nacionales' emergieron con liderazgo de clase media, base social multiclase e ideología reformista en la posguerra.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
Alexander,1964,"Se desarrollaron estudios de casos detallados sobre partidos como instituciones, enfocados en estructura organizacional, selección de candidatos y cohesión.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
Martz,1966,"Se desarrollaron estudios de casos detallados sobre partidos como instituciones, enfocados en estructura organizacional, selección de candidatos y cohesión.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
Williams,1967,"Se desarrollaron estudios de casos detallados sobre partidos como instituciones, enfocados en estructura organizacional, selección de candidatos y cohesión.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
Payne,1968,"Se desarrollaron estudios de casos detallados sobre partidos como instituciones, enfocados en estructura organizacional, selección de candidatos y cohesión.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
Hilliker,1971,"Se desarrollaron estudios de casos detallados sobre partidos como instituciones, enfocados en estructura organizacional, selección de candidatos y cohesión.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
Gibson,1996,Realizó estudios de casos sobre partidos en Argentina durante la redemocratización.**,Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
Keck,1986,Realizó estudios de casos sobre partidos en Brasil durante la redemocratización.**,Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
Kinzo,1988,Realizó estudios de casos sobre partidos en Brasil durante la redemocratización.**,Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
Mainwaring,1993,Realizó estudios de casos sobre partidos en Brasil durante la redemocratización.**,Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
Scully,1992,Realizó estudios de casos sobre partidos en Chile durante la redemocratización.**,Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
Hartlyn,1988,Realizó estudios de casos sobre partidos en Colombia durante la redemocratización.**,Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
