autores,year,description,section,source
Duverger,1954,"Distingue entre partidos de ""cuadro"" (dirigidos por individuos de alto estatus socioeconómico) y partidos de ""masa"" (que movilizan amplios segmentos del electorado mediante organizaciones grandes y complejas).",Gunther R.; Diamond L. (2003)_Introduction,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042379602&doi=10.1177%2f13540688030092003&partnerID=40&md5=3f723b08025e61e2bcdc1a962cbc2b12
Duverger,1954,Sugiere que las formas organizativas de los partidos están dictadas por los recursos y limitaciones que enfrentan los constructores de partidos para financiar sus actividades.,Gunther R.; Diamond L. (2003)_Introduction,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042379602&doi=10.1177%2f13540688030092003&partnerID=40&md5=3f723b08025e61e2bcdc1a962cbc2b12
Kirchheimer,1966,"Propone cuatro modelos de partidos: partidos burgueses de representación individual, partidos de masa de clase, partidos de masa denominacionales y partidos catch-all.",Gunther R.; Diamond L. (2003)_Introduction,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042379602&doi=10.1177%2f13540688030092003&partnerID=40&md5=3f723b08025e61e2bcdc1a962cbc2b12
Neumann,1956,"Diferencia entre ""partidos de representación individual"" (articulan demandas de grupos sociales específicos) y ""partidos de integración social"" (ofrecen servicios a miembros a cambio de apoyo financiero y voluntario).",Gunther R.; Diamond L. (2003)_Introduction,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042379602&doi=10.1177%2f13540688030092003&partnerID=40&md5=3f723b08025e61e2bcdc1a962cbc2b12
Neumann,1956,"Introduce el concepto de ""partidos de integración total"", que buscan confiscar el poder y transformar radicalmente la sociedad, exigiendo obediencia incuestionable de sus miembros.",Gunther R.; Diamond L. (2003)_Introduction,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042379602&doi=10.1177%2f13540688030092003&partnerID=40&md5=3f723b08025e61e2bcdc1a962cbc2b12
Kitschelt,1989,"Distingue partidos que enfatizan la ""lógica de competencia electoral"" de aquellos (como el tipo ""libertario de izquierda"") que priorizan la ""lógica de representación de circunscripción"".",Gunther R.; Diamond L. (2003)_Introduction,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042379602&doi=10.1177%2f13540688030092003&partnerID=40&md5=3f723b08025e61e2bcdc1a962cbc2b12
Kitschelt,1994,"Clasifica partidos en cuatro categorías: ""clubes centralistas"", ""cuadros leninistas"", ""clubes descentralizados"" y ""masas descentralizadas"".",Gunther R.; Diamond L. (2003)_Introduction,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042379602&doi=10.1177%2f13540688030092003&partnerID=40&md5=3f723b08025e61e2bcdc1a962cbc2b12
Wolinetz,2002,"Diferencia partidos según sus objetivos: ""búsqueda de votos"", ""búsqueda de políticas"" y ""búsqueda de oficinas"".",Gunther R.; Diamond L. (2003)_Introduction,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042379602&doi=10.1177%2f13540688030092003&partnerID=40&md5=3f723b08025e61e2bcdc1a962cbc2b12
Katz y Mair,1995,"Proponen el modelo del ""partido cartel"", donde el financiamiento público lleva a los líderes a restringir la competencia para perpetuarse en el poder.",Gunther R.; Diamond L. (2003)_Introduction,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042379602&doi=10.1177%2f13540688030092003&partnerID=40&md5=3f723b08025e61e2bcdc1a962cbc2b12
Panebianco,1988,"Contrapone partidos ""masa-burocráticos"" con partidos ""electorales-profesionales"".",Gunther R.; Diamond L. (2003)_Introduction,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042379602&doi=10.1177%2f13540688030092003&partnerID=40&md5=3f723b08025e61e2bcdc1a962cbc2b12
Panebianco,1988,Señala que Eldersveld (1964) y Michels (1915) basan sus análisis en la idea de que los partidos representan intereses de grupos sociales.,Gunther R.; Diamond L. (2003)_Introduction,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042379602&doi=10.1177%2f13540688030092003&partnerID=40&md5=3f723b08025e61e2bcdc1a962cbc2b12
Beck,1997,Destaca que los partidos altamente descentralizados de EE.UU. no encajan bien en las tipologías clásicas de partidos.,Gunther R.; Diamond L. (2003)_Introduction,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042379602&doi=10.1177%2f13540688030092003&partnerID=40&md5=3f723b08025e61e2bcdc1a962cbc2b12
Gunther y Mughan,2000,"Argumentan que la televisión, como medio dominante de comunicación política, privilegia las personalidades de los líderes sobre programas ideológicos y reduce la utilidad de la membresía masiva.",Gunther R.; Diamond L. (2003)_Introduction,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042379602&doi=10.1177%2f13540688030092003&partnerID=40&md5=3f723b08025e61e2bcdc1a962cbc2b12
Puhle,2002,"Critica el uso excesivo y flexible del término ""catch-all"" como categoría residual en tipologías de partidos.",Gunther R.; Diamond L. (2003)_Introduction,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042379602&doi=10.1177%2f13540688030092003&partnerID=40&md5=3f723b08025e61e2bcdc1a962cbc2b12
Pasquino,2001,"Resalta la necesidad de estudiar la ""nueva política de campaña"" en las últimas décadas para entender mejor la dinámica partidista.",Gunther R.; Diamond L. (2003)_Introduction,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042379602&doi=10.1177%2f13540688030092003&partnerID=40&md5=3f723b08025e61e2bcdc1a962cbc2b12
Koole,1996,Sugiere que es prematuro construir teorías elaboradas sobre tipologías de partidos que pueden ser inadecuadas.,Gunther R.; Diamond L. (2003)_Introduction,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042379602&doi=10.1177%2f13540688030092003&partnerID=40&md5=3f723b08025e61e2bcdc1a962cbc2b12
