autores,year,description,section,source
Barnes,1967,"Los partidos de masas establecen redes organizativas que sirven para movilización electoral y ofrecen beneficios secundarios a sus miembros, como oportunidades de fraternización y recreación.",Gunther R.; Diamond L. (2003)_Mass-based Parties ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042379602&doi=10.1177%2f13540688030092003&partnerID=40&md5=3f723b08025e61e2bcdc1a962cbc2b12
Linz,1978,"Los partidos protohegemónicos buscan reemplazar el sistema democrático existente con uno que se ajuste a sus objetivos radicales, mostrando una lealtad condicional a las instituciones actuales.",Gunther R.; Diamond L. (2003)_Mass-based Parties ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042379602&doi=10.1177%2f13540688030092003&partnerID=40&md5=3f723b08025e61e2bcdc1a962cbc2b12
Duverger,1954,"Diferencia entre partidos de masas basados en sucursales (pluralistas) y partidos ""devotos"" basados en células (protohegemónicos).",Gunther R.; Diamond L. (2003)_Mass-based Parties ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042379602&doi=10.1177%2f13540688030092003&partnerID=40&md5=3f723b08025e61e2bcdc1a962cbc2b12
Neumann,1956,"Separa los partidos de ""integración social"" (pluralistas) de los de ""integración total"" (protohegemónicos).",Gunther R.; Diamond L. (2003)_Mass-based Parties ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042379602&doi=10.1177%2f13540688030092003&partnerID=40&md5=3f723b08025e61e2bcdc1a962cbc2b12
Kirchheimer,1966,"En los partidos de ""masa de clase"", el poder reside en el Comité Ejecutivo de la Secretaría, aunque formalmente la autoridad última es el congreso del partido.",Gunther R.; Diamond L. (2003)_Mass-based Parties ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042379602&doi=10.1177%2f13540688030092003&partnerID=40&md5=3f723b08025e61e2bcdc1a962cbc2b12
Michels,1915,Los partidos socialistas democráticos enfrentan tensiones internas entre pragmáticos (enfocados en victorias electorales) e ideólogos (preocupados por la consistencia ideológica).,Gunther R.; Diamond L. (2003)_Mass-based Parties ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042379602&doi=10.1177%2f13540688030092003&partnerID=40&md5=3f723b08025e61e2bcdc1a962cbc2b12
Schurmann,1966,"Los partidos leninistas en el poder se autodefinen como la ""expresión organizada de la voluntad de la sociedad"" o representantes de los intereses nacionales/populares.",Gunther R.; Diamond L. (2003)_Mass-based Parties ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042379602&doi=10.1177%2f13540688030092003&partnerID=40&md5=3f723b08025e61e2bcdc1a962cbc2b12
Orlow,1969,"Los partidos ultranacionalistas tienen características cuasimilitaristas, con milicias partidistas y admiración por el uso de la fuerza.",Gunther R.; Diamond L. (2003)_Mass-based Parties ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042379602&doi=10.1177%2f13540688030092003&partnerID=40&md5=3f723b08025e61e2bcdc1a962cbc2b12
Orlow,1973,Los partidos fascistas y ultranacionalistas buscan dominación hegemónica mediante represión o cooptación de organizaciones sociales.,Gunther R.; Diamond L. (2003)_Mass-based Parties ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042379602&doi=10.1177%2f13540688030092003&partnerID=40&md5=3f723b08025e61e2bcdc1a962cbc2b12
Adorno et al.,1950,Los partidos ultranacionalistas atraen personalidades con devoción intensa a líderes carismáticos y autoritarios.,Gunther R.; Diamond L. (2003)_Mass-based Parties ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042379602&doi=10.1177%2f13540688030092003&partnerID=40&md5=3f723b08025e61e2bcdc1a962cbc2b12
Fogarty,1957,Los partidos denominacionales (basados en religión) surgieron en el siglo XIX y alcanzaron relevancia tras la Segunda Guerra Mundial.,Gunther R.; Diamond L. (2003)_Mass-based Parties ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042379602&doi=10.1177%2f13540688030092003&partnerID=40&md5=3f723b08025e61e2bcdc1a962cbc2b12
Kalyvas,1996,Los partidos denominacionales enfrentan tensiones cuando sus líderes modifican posturas en conflicto con doctrinas religiosas establecidas.,Gunther R.; Diamond L. (2003)_Mass-based Parties ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042379602&doi=10.1177%2f13540688030092003&partnerID=40&md5=3f723b08025e61e2bcdc1a962cbc2b12
narrador,1900,"El texto analiza la evolución y características de los partidos de masas, dividiéndolos en pluralistas y protohegemónicos según su compromiso ideológico (socialismo, nacionalismo, religión) y su tolerancia al sistema democrático. Los partidos pluralistas buscan ganar elecciones dentro del sistema, mientras que los protohegemónicos aspiran a transformarlo radicalmente. Se detallan subtipos como los partidos socialdemócratas (masa de clase), leninistas (celulares y revolucionarios), nacionalistas (moderados o ultranacionalistas) y religiosos (denominacionales o fundamentalistas). Cada tipo varía en estructura organizativa, disciplina interna, estrategias de movilización y relación con instituciones sociales aliadas (sindicatos, grupos religiosos). Los partidos protohegemónicos (leninistas, ultranacionalistas, fundamentalistas) destacan por su centralismo, adoctrinamiento intensivo y objetivos revolucionarios o teocráticos, mientras que los pluralistas priorizan la integración social y el pragmatismo electoral. Ejemplos históricos incluyen el Partido Nazi, partidos comunistas soviéticos y chinos, y partidos demócrata-cristianos europeos.",Gunther R.; Diamond L. (2003)_Mass-based Parties ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042379602&doi=10.1177%2f13540688030092003&partnerID=40&md5=3f723b08025e61e2bcdc1a962cbc2b12
