autores,year,description,section,source
Dalton,1988,"Los nuevos partidos surgidos en la década de 1980 (libertarios de izquierda/ecologistas) diversificaron el sistema de partidos, evitando el declive de la participación política al ofrecer nuevos canales de expresión dentro del sistema partidista.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Dalton,1991,"Los partidos ecologistas representan el ""brazo parlamentario del nuevo movimiento político"", con estructuras internas participativas y descentralizadas que reflejan un nuevo estilo de política partidista.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Muller-Rommel,1989,"Los nuevos partidos surgieron como respuesta a la necesidad de mayor participación y formas alternativas de hacer política, frente a la insatisfacción con los partidos tradicionales burocratizados.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Pogunkte,1989,"Los nuevos partidos políticos emergieron para abordar demandas de mayor participación y eficacia en el sistema democrático, sin buscar un cambio radical en las reglas del juego.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Barnes y Kaase,1979,"A principios de los 70, más de un tercio de la población en países occidentales estaba dispuesta a usar formas de protesta no convencionales o ilegales, lo que sentó bases para nuevos movimientos sociales.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Dalton,1988,"Los nuevos movimientos sociales y partidos libertarios de izquierda aceptaban el sistema democrático, pero buscaban mejorarlo con más democracia directa y menos jerarquía.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Inglehart,1990,"Los cambios estructurales posindustriales (prosperidad, seguridad) generaron prioridades de valores posmaterialistas, favoreciendo el surgimiento de nuevos partidos con agendas participativas.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Kitschelt,1993,"Los nuevos partidos y movimientos sociales criticaban la falta de democracia interna en los partidos tradicionales, pero no rechazaban el sistema democrático en sí.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Pizzorno,1969,"Los nuevos partidos y movimientos sociales crearon ""áreas de igualdad"" donde la participación era altamente estimulada y gratificante para los miembros.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Panebianco,1988,"Los partidos ecologistas originales tenían estructuras internas abiertas, con participación activa de las bases, acceso a reuniones y control fuerte sobre los elegidos.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Rohrshneider,1993,"Los partidos tradicionales declinaron por su incapacidad de adaptarse a cambios en el entorno, mientras que los nuevos partidos prosperaron gracias a su perfil organizacional y agenda más receptiva.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Reiter,1993,"El conflicto entre partidos tradicionales y nuevos movimientos sociales ha sido exagerado, y la nueva agenda política no es la causa principal del declive del partidismo.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Ignazi,1992,"Los mismos cambios estructurales que explicaron el surgimiento de partidos libertarios/verdes también generaron partidos de extrema derecha, mostrando resultados divergentes.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Inglehart,1985,"La socialización en entornos de seguridad material y educación superior (hipótesis de socialización) debería haber producido valores posmaterialistas, pero no explica la aparición de la extrema derecha.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Bell,1973,"La sociedad posindustrial redujo conflictos laborales tradicionales y fomentó comportamientos individualistas, pero también generó alienación y respuestas autoritarias.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Brand,1990,"La crítica antimoderna de los años 60/70, aunque optimista, contenía elementos que luego alimentaron respuestas neoconservadoras ante la desaceleración económica.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
narrador,1900,"El texto analiza la crisis de los partidos tradicionales y el surgimiento de nuevos partidos (libertarios/verdes y de extrema derecha) en las décadas de 1980-1990. Los partidos tradicionales declinaron por su burocratización, falta de democracia interna y poca receptividad a demandas participativas. Los nuevos partidos ecologistas/libertarios ofrecieron estructuras más abiertas y agendas posmaterialistas, canalizando la insatisfacción hacia reformas democráticas, no revolucionarias. Sin embargo, los mismos cambios estructurales (prosperidad posindustrial, educación, seguridad) también generaron partidos de extrema derecha, que explotaron ansiedades culturales (inmigración, identidad nacional). Mientras los primeros promovían participación y libertarismo, los segundos enfatizaban orden y tradición. La literatura debate si estos fenómenos contrarrestaron o exacerbaron el declive partidista, destacando que factores no estructurales (valores, liderazgos) explican las divergencias. El texto concluye que la sociedad posindustrial produjo respuestas opuestas: una ""nueva política"" participativa y un neoconservadurismo autoritario, ambos resultado de transformaciones socioeconómicas similares pero mediadas por contextos culturales y políticos distintos.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
