autores,year,description,section,source
**Girvin,1988,"El neoconservatismo revitalizó valores tradicionales (orden, jerarquía, patriotismo, familia, autoridad, moralidad) como respuesta a la agenda postmaterialista.**",Ignazi P. (1996)_Why the Extreme Right Parties,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
**Flanagan,1987,"El neoconservatismo se opuso al posmaterialismo no desde la seguridad material, sino en el mismo terreno ideológico.**",Ignazi P. (1996)_Why the Extreme Right Parties,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
**Klingemann,1995,"El cambio conservador radicalizó el conflicto político, llevando a partidos conservadores a adoptar agendas más radicales en los años 80.**",Ignazi P. (1996)_Why the Extreme Right Parties,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
**Pfahl-Traughber,1993,Los partidos de extrema derecha de los 80 pueden ser caracterizados como 'populismo de derecha'.**,Ignazi P. (1996)_Why the Extreme Right Parties,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
**Betz,1994,"Los nuevos partidos de extrema derecha difieren de los neofascistas tradicionales y responden a conflictos posindustriales sobre valores, no intereses materiales.**",Ignazi P. (1996)_Why the Extreme Right Parties,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
**Birenbaum,1992,"El Frente Nacional francés bajo Le Pen ejemplifica un liderazgo cesarista, con estructura jerárquica y movilización en lugar de participación interna.**",Ignazi P. (1996)_Why the Extreme Right Parties,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
**Ignazi,1994c,"El éxito de la Alleanza Nazionale en Italia está vinculado a la imagen de su líder, pese a su estructura interna formalmente democrática.**",Ignazi P. (1996)_Why the Extreme Right Parties,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
**Offe,1985,"En sociedades posindustriales, el conflicto se centra en la asignación de valores más que en la distribución de recursos materiales, favoreciendo a nuevos actores políticos.**",Ignazi P. (1996)_Why the Extreme Right Parties,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
**narrador,1900,"Las tendencias sociales y la crisis de legitimidad en Occidente favorecieron el surgimiento de partidos antisistema, especialmente de extrema derecha en los 80, que se beneficiaron de la radicalización conservadora y la polarización del sistema.**",Ignazi P. (1996)_Why the Extreme Right Parties,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
**narrador,1900,"El neoconservatismo, como reacción al keynesianismo y al posmaterialismo, promovió valores tradicionales y económicos de libre mercado, adoptados por partidos conservadores mainstream, pero abandonaron posturas radicales (xenofobia, autoritarismo), dejando espacio a nuevos partidos de extrema derecha.**",Ignazi P. (1996)_Why the Extreme Right Parties,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
**narrador,1900,"Los nuevos partidos de extrema derecha (FN francés, FPÖ austriaco, etc.) no son neofascistas clásicos, sino productos de conflictos posindustriales, enfocados en identidad nacional, seguridad y moralidad tradicional, respondiendo a demandas no atendidas por partidos tradicionales.**",Ignazi P. (1996)_Why the Extreme Right Parties,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
**narrador,1900,"Su éxito dependió de líderes carismáticos (Le Pen, Haider) y estructuras jerárquicas (Führerprinzip), diferenciándose de la izquierda libertaria que, aunque crítica, operaba dentro del sistema democrático.**",Ignazi P. (1996)_Why the Extreme Right Parties,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
**narrador,1900,"La ampliación del espacio político por la radicalización de conservadores y izquierdistas permitió la entrada de temas antes marginales (xenofobia, ley y orden), consolidando a la extrema derecha incluso tras la moderación de los partidos conservadores.**",Ignazi P. (1996)_Why the Extreme Right Parties,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
**narrador,1900,"Estos partidos explotaron crisis de identidad y atomización social, ofreciendo soluciones autoritarias y nostalgia moral, pero sin proponer un orden corporativista como el fascismo histórico.**",Ignazi P. (1996)_Why the Extreme Right Parties,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
