autores,year,description,section,source
Mair,1984,"Los partidos enfrentan desafíos en su rol de intermediarios entre ciudadanos y gobierno, afectando su capacidad de expresión de intereses.**",Ignazi P. (1996)_An Investigation of the Party Decline Thesis ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Mair,1989,La vulnerabilidad de los partidos se relaciona más con atraso organizacional y debilidad estructural que con un declive funcional específico.**,Ignazi P. (1996)_An Investigation of the Party Decline Thesis ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Lazar,1992,"Estrategias de reducción de membresía son raras y se limitan a partidos revolucionarios, como el Partido Comunista Francés en los años 1940-1950.**",Ignazi P. (1996)_An Investigation of the Party Decline Thesis ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Katz y Mair,1995,"Los partidos posindustriales (como el modelo de cartel) dependen más de la calidad que de la cantidad de miembros, acercándose a un modelo de cuadros actualizado.**",Ignazi P. (1996)_An Investigation of the Party Decline Thesis ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Selle y Svasand,1991,Los datos sobre membresía partidista no muestran un patrón europeo uniforme de declive.**,Ignazi P. (1996)_An Investigation of the Party Decline Thesis ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Bardi,1992,No hay evidencia clara de un declive generalizado en la capacidad de reclutamiento de miembros por parte de los partidos.**,Ignazi P. (1996)_An Investigation of the Party Decline Thesis ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Reiter,1989,La identificación partidista es un indicador clave de la fuerza de los partidos.**,Ignazi P. (1996)_An Investigation of the Party Decline Thesis ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Harding et al.,1988,Existe una tendencia decreciente en la identificación partidista en sociedades occidentales.**,Ignazi P. (1996)_An Investigation of the Party Decline Thesis ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Schmitt y Holmberg,1995,La disminución de la identificación partidista no implica pérdida de relevancia de los partidos como canales de decisión política.**,Ignazi P. (1996)_An Investigation of the Party Decline Thesis ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Mair,1995,"Los votantes evalúan a los partidos de manera más fría y menos emocional, pero esto no significa un rechazo a su función representativa.**",Ignazi P. (1996)_An Investigation of the Party Decline Thesis ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Schlesinger,1984,"La fuerza organizacional de los partidos no debe medirse por el comportamiento electoral (volatilidad), ya que los votantes son selectores, no componentes del partido.**",Ignazi P. (1996)_An Investigation of the Party Decline Thesis ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Selle y Svasand,1991,"La evaluación del debilitamiento partidista depende de cómo se defina ""organización"" y ""declive"".**",Ignazi P. (1996)_An Investigation of the Party Decline Thesis ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Janda,1983,"Propone variables multidimensionales (complejidad, centralización, coherencia, participación) para medir la fuerza organizacional, pero no se aplican sistemáticamente.**",Ignazi P. (1996)_An Investigation of the Party Decline Thesis ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Panebianco,1988,"Sugiere comparar partidos por su autonomía del entorno externo y coherencia interna, pero sin operacionalización empírica clara.**",Ignazi P. (1996)_An Investigation of the Party Decline Thesis ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Katz y Mair,1992,"Su estudio sobre organización partidista carece de una definición clara de ""fuerza organizacional"".**",Ignazi P. (1996)_An Investigation of the Party Decline Thesis ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Charlot,1971,Movimientos carismáticos como los gaullistas desafían el modelo tradicional de partido al prescindir de estructuras organizativas formales.**,Ignazi P. (1996)_An Investigation of the Party Decline Thesis ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
McCarthy,1995,Forza Italia ejemplifica el ascenso de partidos liderados por figuras carismáticas sin estructuras partidistas sólidas.**,Ignazi P. (1996)_An Investigation of the Party Decline Thesis ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Katz,1986,El nombramiento de carteras ministeriales por partidos es un indicador de su relevancia en el gobierno.**,Ignazi P. (1996)_An Investigation of the Party Decline Thesis ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Blondel,1991,"Los partidos siguen dominando el reclutamiento de élites políticas, aunque con excepciones (ej. Italia en los 1990s).**",Ignazi P. (1996)_An Investigation of the Party Decline Thesis ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Appleton,1995,"Aumentan los independientes en política, pero aún dependen de partidos para competir electoralmente.**",Ignazi P. (1996)_An Investigation of the Party Decline Thesis ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Daalder,1992,"Los partidos enfrentan ""redundancia"" en la formación de políticas debido a la competencia de agencias estatales y grupos de interés.**",Ignazi P. (1996)_An Investigation of the Party Decline Thesis ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Lawson y Merkl,1988,Organizaciones no partidistas desafían a los partidos en la agregación de demandas políticas.**,Ignazi P. (1996)_An Investigation of the Party Decline Thesis ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
¨Ignazi P. (1996),1900,"El texto analiza si existe una crisis de los partidos en los 1990s, distinguiendo entre factores organizacionales (como membresía y estructura) y funcionales (expresión de intereses, reclutamiento, formación de políticas).**",Ignazi P. (1996)_An Investigation of the Party Decline Thesis ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
¨Ignazi P. (1996),1900,"La membresía partidista no muestra un declive uniforme, pero su medición es insuficiente; se necesitan índices multidimensionales (Janda).**",Ignazi P. (1996)_An Investigation of the Party Decline Thesis ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
¨Ignazi P. (1996),1900,"La identificación partidista disminuye, pero no necesariamente la relevancia de los partidos; los votantes son más críticos y menos leales.**",Ignazi P. (1996)_An Investigation of the Party Decline Thesis ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
¨Ignazi P. (1996),1900,"La volatilidad electoral no refleja debilidad organizacional, sino cambios en el comportamiento electoral (Schlesinger).**",Ignazi P. (1996)_An Investigation of the Party Decline Thesis ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
¨Ignazi P. (1996),1900,"Surgen desafíos al monopolio partidista: movimientos carismáticos (Forza Italia, gaullistas) y organizaciones no partidistas (neocorporativismo).**",Ignazi P. (1996)_An Investigation of the Party Decline Thesis ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
¨Ignazi P. (1996),1900,"Los partidos mantienen control en el reclutamiento de élites, pero con excepciones (independientes en Italia y Francia).**",Ignazi P. (1996)_An Investigation of the Party Decline Thesis ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
¨Ignazi P. (1996),1900,"En formación de políticas, los partidos pierden terreno frente a actores no electorales (grupos de interés, agencias estatales).**",Ignazi P. (1996)_An Investigation of the Party Decline Thesis ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
¨Ignazi P. (1996),1900,"La ""crisis"" se centra en funciones expresivas (canalización de demandas), no en colapso organizativo, con respuestas variadas según contextos nacionales.**",Ignazi P. (1996)_An Investigation of the Party Decline Thesis ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Dalton,1988,"Los nuevos partidos surgidos en la década de 1980 (libertarios de izquierda/ecologistas) diversificaron el sistema de partidos, evitando el declive de la participación política al ofrecer nuevos canales de expresión dentro del sistema partidista.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Dalton,1991,"Los partidos ecologistas representan el ""brazo parlamentario del nuevo movimiento político"", con estructuras internas participativas y descentralizadas que reflejan un nuevo estilo de política partidista.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Muller-Rommel,1989,"Los nuevos partidos surgieron como respuesta a la necesidad de mayor participación y formas alternativas de hacer política, frente a la insatisfacción con los partidos tradicionales burocratizados.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Pogunkte,1989,"Los nuevos partidos políticos emergieron para abordar demandas de mayor participación y eficacia en el sistema democrático, sin buscar un cambio radical en las reglas del juego.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Barnes y Kaase,1979,"A principios de los 70, más de un tercio de la población en países occidentales estaba dispuesta a usar formas de protesta no convencionales o ilegales, lo que sentó bases para nuevos movimientos sociales.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Dalton,1988,"Los nuevos movimientos sociales y partidos libertarios de izquierda aceptaban el sistema democrático, pero buscaban mejorarlo con más democracia directa y menos jerarquía.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Inglehart,1990,"Los cambios estructurales posindustriales (prosperidad, seguridad) generaron prioridades de valores posmaterialistas, favoreciendo el surgimiento de nuevos partidos con agendas participativas.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Kitschelt,1993,"Los nuevos partidos y movimientos sociales criticaban la falta de democracia interna en los partidos tradicionales, pero no rechazaban el sistema democrático en sí.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Pizzorno,1969,"Los nuevos partidos y movimientos sociales crearon ""áreas de igualdad"" donde la participación era altamente estimulada y gratificante para los miembros.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Panebianco,1988,"Los partidos ecologistas originales tenían estructuras internas abiertas, con participación activa de las bases, acceso a reuniones y control fuerte sobre los elegidos.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Rohrshneider,1993,"Los partidos tradicionales declinaron por su incapacidad de adaptarse a cambios en el entorno, mientras que los nuevos partidos prosperaron gracias a su perfil organizacional y agenda más receptiva.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Reiter,1993,"El conflicto entre partidos tradicionales y nuevos movimientos sociales ha sido exagerado, y la nueva agenda política no es la causa principal del declive del partidismo.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Ignazi,1992,"Los mismos cambios estructurales que explicaron el surgimiento de partidos libertarios/verdes también generaron partidos de extrema derecha, mostrando resultados divergentes.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Inglehart,1985,"La socialización en entornos de seguridad material y educación superior (hipótesis de socialización) debería haber producido valores posmaterialistas, pero no explica la aparición de la extrema derecha.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Bell,1973,"La sociedad posindustrial redujo conflictos laborales tradicionales y fomentó comportamientos individualistas, pero también generó alienación y respuestas autoritarias.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Brand,1990,"La crítica antimoderna de los años 60/70, aunque optimista, contenía elementos que luego alimentaron respuestas neoconservadoras ante la desaceleración económica.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
¨Ignazi P. (1996),1900,"El texto analiza la crisis de los partidos tradicionales y el surgimiento de nuevos partidos (libertarios/verdes y de extrema derecha) en las décadas de 1980-1990. Los partidos tradicionales declinaron por su burocratización, falta de democracia interna y poca receptividad a demandas participativas. Los nuevos partidos ecologistas/libertarios ofrecieron estructuras más abiertas y agendas posmaterialistas, canalizando la insatisfacción hacia reformas democráticas, no revolucionarias. Sin embargo, los mismos cambios estructurales (prosperidad posindustrial, educación, seguridad) también generaron partidos de extrema derecha, que explotaron ansiedades culturales (inmigración, identidad nacional). Mientras los primeros promovían participación y libertarismo, los segundos enfatizaban orden y tradición. La literatura debate si estos fenómenos contrarrestaron o exacerbaron el declive partidista, destacando que factores no estructurales (valores, liderazgos) explican las divergencias. El texto concluye que la sociedad posindustrial produjo respuestas opuestas: una ""nueva política"" participativa y un neoconservadurismo autoritario, ambos resultado de transformaciones socioeconómicas similares pero mediadas por contextos culturales y políticos distintos.",Ignazi P. (1996)_Party Decline and New Social Movements and The Diverging Outcomes of Postindustrial Society ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
Girvin,1988,"El neoconservatismo revitalizó valores tradicionales (orden, jerarquía, patriotismo, familia, autoridad, moralidad) como respuesta a la agenda postmaterialista.**",Ignazi P. (1996)_Why the Extreme Right Parties,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000933817&doi=10.1177%2f1354068896002004007&partnerID=40&md5=56029090908019e0bbe0cb4297141d50
