autores,year,description,section,source
Burke,siglo XIX,"Los partidos políticos son grupos de hombres que buscan el interés público o, en una interpretación menos caritativa, su interés privado.",Katz R.S.; Mair P. (1995)_Stages of Party Development ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
Einhorn y Logue,1988,"La mejora de las condiciones sociales, la movilidad y los medios de comunicación redujeron la distinción de las experiencias de las circunscripciones sociales bien definidas.",Katz R.S.; Mair P. (1995)_Stages of Party Development ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
Kirchheimer,1966,"El partido Catch-All adopta una estrategia ofensiva, intercambiando efectividad en profundidad por una audiencia más amplia y éxito electoral inmediato.",Katz R.S.; Mair P. (1995)_Stages of Party Development ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
Castles,1982,"Aunque hay diferencias entre partidos en su receptividad a grupos específicos, la mayoría de los grupos pueden trabajar cooperativamente con cualquier partido en el poder.",Katz R.S.; Mair P. (1995)_Stages of Party Development ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
Truman,1951,"La democracia se basa en la negociación y acomodación de intereses organizados independientemente, donde los partidos facilitan compromisos.",Katz R.S.; Mair P. (1995)_Stages of Party Development ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
Dahl,1956,"La democracia pluralista implica la construcción de coaliciones cambiantes entre intereses organizados, con partidos abiertos a cada interés.",Katz R.S.; Mair P. (1995)_Stages of Party Development ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
Michels,1962 [1911],"Los partidos de masas, aunque ideológicamente democráticos, están dominados por su liderazgo, lo que en el modelo Catch-All se convierte en una virtud en lugar de un vicio.",Katz R.S.; Mair P. (1995)_Stages of Party Development ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
Downs,1957,"Los partidos actúan como corredores y pueden extraer una ""comisión"" por sus servicios, incluyendo recompensas materiales y deferencia a preferencias políticas.",Katz R.S.; Mair P. (1995)_Stages of Party Development ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
Epstein,1986,"Los partidos pueden usar el poder del estado para proteger sus propios intereses, similar a empresas reguladas.",Katz R.S.; Mair P. (1995)_Stages of Party Development ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
narrador,1900,"El texto analiza la evolución de los partidos políticos desde el siglo XIX hasta la actualidad, destacando cuatro etapas principales: el régimen liberal censitario, el partido de masas, el partido Catch-All y la posible integración de los partidos en el aparato estatal. Inicialmente, los partidos eran comités de élites interconectadas con el estado y la sociedad civil. Con la industrialización y el sufragio ampliado, surgió el partido de masas, que representaba segmentos específicos de la sociedad y enfatizaba la disciplina y la cohesión. Posteriormente, los partidos tradicionales y los de masas convergieron en el modelo Catch-All, que busca atraer a un electorado más amplio y reduce el distintivo ideológico. Finalmente, se sugiere que los partidos pueden estar evolucionando hacia una integración más profunda con el estado, actuando como corredores entre la sociedad civil y el gobierno, y posiblemente usando el estado para proteger sus intereses propios. El texto también discute cómo los cambios en las condiciones sociales, los medios de comunicación y las concepciones de la democracia han influido en esta evolución.",Katz R.S.; Mair P. (1995)_Stages of Party Development ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
