autores,year,description,section,source
**Lipset y Rokkan,1967,Los partidos masivos intentan segmentar al electorado en circunscripciones exclusivas y reducir el mercado de apoyo.**,Katz R.S.; Mair P. (1995)_The Characteristics of the Cartel Party ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
**Panebianco,1988,"Los partidos Catch-All dedican más recursos a publicistas profesionales y expertos en medios, compitiendo por acceso a redes de comunicación no partidistas.**",Katz R.S.; Mair P. (1995)_The Characteristics of the Cartel Party ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
**Narrador,1900,"Los modelos de partidos (élite, masas, Catch-All y cartel) surgen en contextos socio-políticos específicos, pero coexisten en el tiempo sin reemplazarse totalmente.**",Katz R.S.; Mair P. (1995)_The Characteristics of the Cartel Party ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
**Narrador,1900,"Los partidos de élite compiten por privilegios basados en estatus atribuido, mientras los de masas enfatizan reforma social y capacidad representativa.**",Katz R.S.; Mair P. (1995)_The Characteristics of the Cartel Party ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
**Narrador,1900,"Los partidos Catch-All compiten por efectividad en políticas de mejora social, no por ideologías radicales.**",Katz R.S.; Mair P. (1995)_The Characteristics of the Cartel Party ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
**Narrador,1900,"Los partidos cartel priorizan gestión eficiente y autorreferencialidad, con competencia limitada y acuerdos interpartidarios para supervivencia colectiva.**",Katz R.S.; Mair P. (1995)_The Characteristics of the Cartel Party ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
**Narrador,1900,"La competencia electoral evoluciona: controlada (élite), movilización popular (masas), efectividad (Catch-All) y contenida/gerenciada (cartel).**",Katz R.S.; Mair P. (1995)_The Characteristics of the Cartel Party ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
**Narrador,1900,"Los partidos de élite dependen de contactos personales; los de masas, de membresías y suscripciones; los Catch-All diversifican financiación y profesionalizan campañas; los cartel dependen de subsidios estatales.**",Katz R.S.; Mair P. (1995)_The Characteristics of the Cartel Party ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
**Narrador,1900,"La membresía en partidos de masas implica compromiso y control interno; en Catch-All, es más simbólica (animadoras); en cartel, se atomiza (voto postal) y diluye jerarquías locales.**",Katz R.S.; Mair P. (1995)_The Characteristics of the Cartel Party ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
**Narrador,1900,"Los líderes de partidos cartel ganan autonomía al apelar directamente a miembros individuales, debilitando intermediarios locales y fomentando estratarquía (autonomía local vs. control central).**",Katz R.S.; Mair P. (1995)_The Characteristics of the Cartel Party ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
**Narrador,1900,"Ejemplos de cooperación entre partidos cartel incluyen reparto de cargos en Italia, rotación presidencial en Suiza y gerrymandering en EE.UU.**",Katz R.S.; Mair P. (1995)_The Characteristics of the Cartel Party ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
**Narrador,1900,"Las campañas se profesionalizan: de trabajo intensivo (masas) a capital intensivo (Catch-All/cartel), con centralización en medios y comunicación.**",Katz R.S.; Mair P. (1995)_The Characteristics of the Cartel Party ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
