autores,year,description,section,source
Ostrogorski,1902,Los partidos políticos deben ser clasificados y entendidos en base a su relación con la sociedad civil.,Katz R.S.; Mair P. (1995)_Introduction and The Mass Party and the Catch-All Party ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
Duverger,1954,Los partidos políticos deben ser clasificados y entendidos en base a su relación con la sociedad civil.,Katz R.S.; Mair P. (1995)_Introduction and The Mass Party and the Catch-All Party ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
Panebianco,1988,Los partidos políticos deben ser clasificados y entendidos en base a su relación con la sociedad civil.,Katz R.S.; Mair P. (1995)_Introduction and The Mass Party and the Catch-All Party ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
Lawson,1980,El modelo de partido de masas es el estándar contra el cual deben juzgarse los demás partidos.,Katz R.S.; Mair P. (1995)_Introduction and The Mass Party and the Catch-All Party ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
Lawson,1988,El modelo de partido de masas es el estándar contra el cual deben juzgarse los demás partidos.,Katz R.S.; Mair P. (1995)_Introduction and The Mass Party and the Catch-All Party ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
Sainsbury,1990,El modelo de partido de masas es el estándar contra el cual deben juzgarse los demás partidos.,Katz R.S.; Mair P. (1995)_Introduction and The Mass Party and the Catch-All Party ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
Pomper,1992,El modelo de partido de masas está vinculado a una concepción específica de democracia y estructura social.,Katz R.S.; Mair P. (1995)_Introduction and The Mass Party and the Catch-All Party ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
Neumann,1956,"En el modelo de partido de masas, los grupos sociales predefinidos son las unidades fundamentales de la vida política, y los partidos actúan como sus representantes.",Katz R.S.; Mair P. (1995)_Introduction and The Mass Party and the Catch-All Party ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
Beer,1969,"El modelo de democracia británica bajo la ""democracia socialista"" refleja los supuestos del partido de masas.",Katz R.S.; Mair P. (1995)_Introduction and The Mass Party and the Catch-All Party ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
Ranney,1962,"Las prescripciones para la democracia estadounidense bajo el ""gobierno de partido responsable"" se alinean con el modelo de partido de masas.",Katz R.S.; Mair P. (1995)_Introduction and The Mass Party and the Catch-All Party ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970385509&doi=10.1177%2f1354068895001001001&partnerID=40&md5=de772b9dac5d18cd1f339dbf9e86939b
