autores,year,description,section,source
Pedersen,1982,"Las protopartidos son organizaciones políticas que pueden evolucionar a partidos políticos, grupos de presión, clubes políticos, grupos de expertos o facciones dentro de partidos establecidos, dependiendo de los recursos y la estructura de oportunidad política del sistema.",Lucardie P. (2000)_Political Opportunity Structure ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040524557&doi=10.1177%2f1354068800006002003&partnerID=40&md5=506cf758404812a0963fad5bc6b376c8
Kitschelt,1988,Aplicó el concepto de estructura de oportunidad política al surgimiento de los partidos verdes.,Lucardie P. (2000)_Political Opportunity Structure ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040524557&doi=10.1177%2f1354068800006002003&partnerID=40&md5=506cf758404812a0963fad5bc6b376c8
Muller-Rommel,1993,Los partidos verdes tienen mejor desempeño en sistemas federales que en estados centralizados.,Lucardie P. (2000)_Political Opportunity Structure ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040524557&doi=10.1177%2f1354068800006002003&partnerID=40&md5=506cf758404812a0963fad5bc6b376c8
Fisher,1974,Insinuó ideas similares a la estructura de oportunidad política antes de su formalización.,Lucardie P. (2000)_Political Opportunity Structure ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040524557&doi=10.1177%2f1354068800006002003&partnerID=40&md5=506cf758404812a0963fad5bc6b376c8
Kriesi,1995,"Identificó cuatro aspectos de la estructura de oportunidad política: acceso formal al estado, procedimientos informales y estrategias dominantes, asociaciones de interés y configuración de poder en el sistema de partidos.",Lucardie P. (2000)_Political Opportunity Structure ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040524557&doi=10.1177%2f1354068800006002003&partnerID=40&md5=506cf758404812a0963fad5bc6b376c8
Lijphart,1990,"Los sistemas electorales pluralistas o de mayoría simple ofrecen pocas oportunidades a nuevos partidos, excepto para aquellos con intereses regionales específicos.",Lucardie P. (2000)_Political Opportunity Structure ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040524557&doi=10.1177%2f1354068800006002003&partnerID=40&md5=506cf758404812a0963fad5bc6b376c8
Shugart,1992,"Confirmó que el sistema electoral afecta las oportunidades de nuevos partidos, aunque su impacto no debe sobreestimarse.",Lucardie P. (2000)_Political Opportunity Structure ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040524557&doi=10.1177%2f1354068800006002003&partnerID=40&md5=506cf758404812a0963fad5bc6b376c8
Winkler,1996,Las diferencias en las estructuras de oportunidades culturales explican la variación en el resurgimiento del nacionalismo en países europeos después de 1945.,Lucardie P. (2000)_Political Opportunity Structure ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040524557&doi=10.1177%2f1354068800006002003&partnerID=40&md5=506cf758404812a0963fad5bc6b376c8
Voerman,1994,"El Partido Socialista holandés ingresó al Parlamento en 1994 después de que el Partido Laborista se moviera hacia el centro, alienando a votantes de izquierda.",Lucardie P. (2000)_Political Opportunity Structure ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040524557&doi=10.1177%2f1354068800006002003&partnerID=40&md5=506cf758404812a0963fad5bc6b376c8
Van der Steen,1995,Respaldó la idea de que cambios en partidos establecidos pueden crear espacio para nuevos partidos.,Lucardie P. (2000)_Political Opportunity Structure ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040524557&doi=10.1177%2f1354068800006002003&partnerID=40&md5=506cf758404812a0963fad5bc6b376c8
