autores,year,description,section,source
Daalder,1966,"Los problemas sociales pueden ser conceptualizados como 'tensiones sociales' o 'estrés' desde una perspectiva institucionalista, funcionalista o comportamental.",Lucardie P. (2000)_A Relevant Political Project and Sufficient Mobilization of Resources,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040524557&doi=10.1177%2f1354068800006002003&partnerID=40&md5=506cf758404812a0963fad5bc6b376c8
Pinard,1975,"Los problemas sociales pueden ser conceptualizados como 'tensiones sociales' o 'estrés' desde una perspectiva institucionalista, funcionalista o comportamental.",Lucardie P. (2000)_A Relevant Political Project and Sufficient Mobilization of Resources,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040524557&doi=10.1177%2f1354068800006002003&partnerID=40&md5=506cf758404812a0963fad5bc6b376c8
Hauss y Rayside,1978,"Los problemas sociales pueden ser conceptualizados como 'tensiones sociales' o 'estrés' desde una perspectiva institucionalista, funcionalista o comportamental.",Lucardie P. (2000)_A Relevant Political Project and Sufficient Mobilization of Resources,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040524557&doi=10.1177%2f1354068800006002003&partnerID=40&md5=506cf758404812a0963fad5bc6b376c8
Jaschke,1987,"Los problemas sociales pueden ser conceptualizados como 'tensiones sociales' o 'estrés' desde una perspectiva institucionalista, funcionalista o comportamental.",Lucardie P. (2000)_A Relevant Political Project and Sufficient Mobilization of Resources,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040524557&doi=10.1177%2f1354068800006002003&partnerID=40&md5=506cf758404812a0963fad5bc6b376c8
Hug,1990,"Los problemas sociales pueden ser conceptualizados como 'tensiones sociales' o 'estrés' desde una perspectiva institucionalista, funcionalista o comportamental.",Lucardie P. (2000)_A Relevant Political Project and Sufficient Mobilization of Resources,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040524557&doi=10.1177%2f1354068800006002003&partnerID=40&md5=506cf758404812a0963fad5bc6b376c8
Thompson et al.,1990,"La percepción de los problemas sociales varía según culturas fatalistas, individualistas o igualitarias.",Lucardie P. (2000)_A Relevant Political Project and Sufficient Mobilization of Resources,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040524557&doi=10.1177%2f1354068800006002003&partnerID=40&md5=506cf758404812a0963fad5bc6b376c8
Van der Land,1962,Los disidentes de izquierda en partidos socialdemócratas europeos formaron partidos radicales como el Partido Socialista del Pueblo en Dinamarca.,Lucardie P. (2000)_A Relevant Political Project and Sufficient Mobilization of Resources,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040524557&doi=10.1177%2f1354068800006002003&partnerID=40&md5=506cf758404812a0963fad5bc6b376c8
Logue,1982,Los disidentes de izquierda en partidos socialdemócratas europeos formaron partidos radicales como el Partido Socialista Pacifista en los Países Bajos.,Lucardie P. (2000)_A Relevant Political Project and Sufficient Mobilization of Resources,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040524557&doi=10.1177%2f1354068800006002003&partnerID=40&md5=506cf758404812a0963fad5bc6b376c8
Rochon,1985,Introduce el término 'retadores' para partidos que buscan purificar una ideología existente.,Lucardie P. (2000)_A Relevant Political Project and Sufficient Mobilization of Resources,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040524557&doi=10.1177%2f1354068800006002003&partnerID=40&md5=506cf758404812a0963fad5bc6b376c8
Lucardie,1980,Cuestiona la idoneidad del término 'Nueva Izquierda' para describir partidos emergentes.,Lucardie P. (2000)_A Relevant Political Project and Sufficient Mobilization of Resources,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040524557&doi=10.1177%2f1354068800006002003&partnerID=40&md5=506cf758404812a0963fad5bc6b376c8
Ignazi,1992,Examina si los partidos de la nueva derecha desarrollaron una ideología nueva o una mezcla de nacionalismo etnocéntrico y liberalismo económico.,Lucardie P. (2000)_A Relevant Political Project and Sufficient Mobilization of Resources,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040524557&doi=10.1177%2f1354068800006002003&partnerID=40&md5=506cf758404812a0963fad5bc6b376c8
